OpeningTime,Open,High,Low,Close,Volume,CloseTime,RSI,MACD,MACDSIGNAL,MACDHIST,STOCHK,STOCHD
1662331200000,19872.53,19875.22,19857.76,19865.15,533.36578,1662331499999,46.82,nan,nan,nan,80.90,79.94
1662331500000,19865.99,19866.79,19828.16,19835.2,445.87229,1662331799999,38.17,nan,nan,nan,56.91,74.72
1662331800000,19834.47,19849.55,19832.92,19838.76,366.70348,1662332099999,39.60,nan,nan,nan,34.09,57.30
1662332100000,19839.66,19843.29,19827.41,19833.72,381.52133,1662332399999,38.25,-13.62,-12.66,-0.96,15.46,35.49
1662332400000,19834.86,19851.0,19823.73,19847.4,518.5351,1662332699999,43.84,-13.09,-12.74,-0.35,26.22,25.26
1662332700000,19846.57,19863.43,19846.57,19853.02,447.74616,1662332999999,46.00,-12.08,-12.61,0.53,42.03,27.91
1662333000000,19853.02,19859.99,19843.01,19854.47,373.7948,1662333299999,46.57,-11.03,-12.29,1.26,63.81,44.02
1662333300000,19854.47,19859.72,19831.57,19846.77,555.51607,1662333599999,43.91,-10.70,-11.97,1.28,67.83,57.89
1662333600000,19846.58,19878.55,19845.25,19878.22,485.68962,1662333899999,55.16,-7.81,-11.14,3.33,78.29,69.97
1662333900000,19877.52,19949.13,19873.85,19923.25,1240.22087,1662334199999,65.76,-1.86,-9.28,7.42,78.47,74.86
1662334200000,19924.7,20005.91,19913.74,20002.07,2050.77551,1662334499999,76.31,9.11,-5.61,14.71,91.73,82.83
1662334500000,20002.45,20029.23,19964.79,19997.64,1484.69799,1662334799999,74.91,17.24,-1.04,18.28,86.60,85.60
1662334800000,19997.64,20021.01,19993.99,20001.2,1002.70035,1662335099999,75.30,23.70,3.91,19.79,88.86,89.06
1662335100000,20000.12,20011.21,19956.16,19960.0,819.97517,1662335399999,63.05,25.21,8.17,17.04,74.74,83.40
1662335400000,19960.0,19994.79,19935.22,19977.79,969.46382,1662335699999,65.65,27.52,12.04,15.48,65.22,76.28
1662335700000,19978.21,20006.98,19968.58,20000.3,827.9357,1662335999999,68.65,30.81,15.80,15.02,60.04,66.67
1662336000000,20000.3,20057.27,19993.16,20027.71,1678.21128,1662336299999,71.88,35.23,19.68,15.55,66.82,64.03
